forecast_date,target,location,target_end_date,type,quantile,value
2020-08-13,1 wk ahead cum death,US,2020-08-15,point,NA,168400.26366226366
2020-08-13,2 wk ahead cum death,US,2020-08-22,point,NA,175720.90864690865
2020-08-13,3 wk ahead cum death,US,2020-08-29,point,NA,183212.72094572094
2020-08-13,4 wk ahead cum death,US,2020-09-05,point,NA,191072.5495245495
2020-08-13,5 wk ahead cum death,US,2020-09-12,point,NA,199471.92962592962
2020-08-13,6 wk ahead cum death,US,2020-09-19,point,NA,208599.31272431274
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.01,164928.26
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.025,165015
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.05,165110.3
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.1,165330
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.15,167360.9
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.2,167500
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.25,167616
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.3,167756
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.35,168153
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.4,168372
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.45,168496
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.5,168601
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.55,168688
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.6,168770
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.65,168848
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.7,168928
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.75,169012
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.8,169110
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.85,169259
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.9,171219.4
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.95,171502
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.975,171644
2020-08-13,1 wk ahead cum death,US,2020-08-15,quantile,0.99,171775
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.01,169815
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.025,169945.65000000002
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.05,170100
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.1,170441.59999999998
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.15,173707.9
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.2,174166
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.25,174693
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.3,174963.80000000002
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.35,175199
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.4,175420
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.45,175602.7
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.5,175751
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.55,175894
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.6,176038
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.65,176183
2020-08-13,2 wk ahead cum death,US,2020-08-22,quantile,0.7,176345
